knob,knob_value,f_mod_hz,rc,mh_mean_V,mh_pkpk_V,mh_std_V,drop_mean_A,drop_pkpk_A,energy_mean
settling_us,5,50,0,0.738939728622357,0.008056640625,0.001762806330755781,1.6141667138137763e-05,5.48328412125404e-06,243964.67177166726
settling_us,100,100,0,0.7386866166654238,0.005035400390625,0.0008216478957591207,1.633385829039145e-05,4.484864142757039e-06,254091.36992840096
settling_us,100,5000,0,0.7412183489118304,0.007855224609374933,0.0021559571025920477,1.464077070616933e-05,7.07366797424048e-06,240753.87619047618
kstep,4,25,0,0.7386826701600325,0.004833984374999933,0.0006819972027234697,1.6350533202577967e-05,6.106709692898807e-06,255061.24626419606
settling_us,25,50,0,0.738965672979611,0.0028198242187499334,0.0004825565191127628,1.613670538874465e-05,4.8365041297737005e-06,255441.08583464983
kstep,5,25,0,0.7387079525050901,0.005639648437499978,0.0008567210135241296,1.633511271542081e-05,6.809650506138668e-06,254337.59055588764
settling_us,100,50,0,0.7384519296734993,0.0032226562500000666,0.0004834717788622001,1.651628683778329e-05,4.5914116359558485e-06,255345.57467144565
kstep,6,25,0,0.7389328449839829,0.006445312500000022,0.0012733967284143024,1.6168003795360654e-05,7.335286118510945e-06,251301.68380155409
settling_us,400,100,0,0.7381395612444198,0.006848144531250044,0.0018043526829163866,1.6806579763752433e-05,7.830520417970065e-06,247528.22857142857
settling_us,400,50,0,0.7391200709987332,0.005438232421875022,0.00159073280133716,1.6032486141026227e-05,6.7429681730659975e-06,248858.7799227799
settling_us,400,200,0,0.7396779959542411,0.007855224609375044,0.002033679430437296,1.572021634386145e-05,8.248196760519896e-06,244962.98571428572
settling_us,400,500,0,0.7375103759765625,0.0032226562499999556,0.0007118282501872395,1.7260777352071104e-05,4.908977871538426e-06,253174.4380952381
settling_us,400,1000,0,0.7362366594587053,0.0014099121093750222,0.00031304634029650586,1.8202070242787582e-05,3.973981767171087e-06,238983.5619047619
settling_us,400,2000,0,0.739102521623884,0.009063720703125,0.0024205461354028105,1.6126320634451774e-05,8.572885387383111e-06,242500.23333333334
dither_amp_v,0.006,200,0,0.7393902587890625,0.003021240234375,0.0006539290884977494,1.5827737606274354e-05,3.926981903372899e-06,16232.27619047619
dither_amp_v,0.006,500,0,0.7385596575055805,0.007452392578124911,0.001750310691694066,1.6524398852554045e-05,8.069344713520383e-06,15856.804761904761
settling_us,400,5000,0,0.7359508405412948,0.0014099121093750222,0.00036239274659403313,1.839326554042666e-05,3.717632468358666e-06,242908.60952380951
